Table 1,,,,,,,
Category,Color Code,Brand,Product ,Color,ASIN,Finish,
Lip,#d51f2f,Dior  ,DIORIFIC,014,B0002DNHR8,,
Lip,#f9ac9a,Dior  ,DIOR ADDICT LIPSTICK,138,B015CYRR3G,,
Lip,#cf2474,YSL,ROUGE PUR COUTURE KISS & LOVE COLLECTION,19,B013U03KWG,,
Lip,#d58498,YSL,BABY DOLL KISS AND BLUSH,09,B00JXMFFQU,,
Lip,#ce4743,TOM FORD,ULTRA-RICH LIP COLOR,SOLAR AFFAIR,,,
Lip,#c98184,Nars,Velvet Matte Lip Pencil, Bettina,B000JLHDBE,Matte,
Lip,#dc775c,Nars,Satin Lipstick, Casablanca, B00FS3Z3YM,Matte,
Lip,#ee3d8a,Revlon,Ultra HD Lipstick,HD AZALEA,B00RY9SUAM,,
Lip,#d43f1b,Revlon,Super lustrous lipstick,Siren,B0043WAPQA,,
Lip,#ed9982,NYX,FULL THROTTLE LIPSTICK,Sidekick,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
