Table 1,,,,,,,,,
Category,Color Code,test,Brand,Product ,Color,ASIN,Finish,Image Url(350*350),PurchaseLink
Lip,#d51f2f,green,Dior  ,DIORIFIC,014,B0002DNHR8,,http://ecx.images-amazon.com/images/I/31K1HvFkDIL._SL160_.jpg,http://www.amazon.com/Christian-Dior-Diorific-Wearing-Lipstick/dp/B0002DNHR8%3FSubscriptionId%3DAKIAIE6IQV4GMYXOKF3A%26tag%3Dlq03-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB0002DNHR8
Lip,#f9ac9a,ok,Dior  ,DIOR ADDICT LIPSTICK,138,B015CYRR3G,,http://ecx.images-amazon.com/images/I/31YJ-gabHfL._SL160_.jpg,http://www.amazon.com/Dior-Addict-Lipstick-138-Purity/dp/B015CYRR3G%3Fpsc%3D1%26SubscriptionId%3DAKIAIE6IQV4GMYXOKF3A%26tag%3Dlq03-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB015CYRR3G
Lip,#cf2474,no apparent(original：dark orange),YSL,ROUGE PUR COUTURE KISS & LOVE COLLECTION,19,B013U03KWG,,http://ecx.images-amazon.com/images/I/41itxhp1DTL.jpg,http://www.amazon.com/Yves-Saint-Laurent-Collectors-Lipstick/dp/B013U03KWG%3Fpsc%3D1%26SubscriptionId%3DAKIAIE6IQV4GMYXOKF3A%26tag%3Dlq03-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB013U03KWG
Lip,#d58498,ok,YSL,BABY DOLL KISS AND BLUSH,09,B00JXMFFQU,,http://ecx.images-amazon.com/images/I/313txcv8xDL._SL160_.jpg,http://www.amazon.com/Yves-Saint-Laurent-Baby-Blush/dp/B00JXMFFQU%3FSubscriptionId%3DAKIAIE6IQV4GMYXOKF3A%26tag%3Dlq03-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB00JXMFFQU
Lip,#ce4743,no apparent(original：dark orange),TOM FORD,ULTRA-RICH LIP COLOR,SOLAR AFFAIR,,,http://images.prod.meredith.com/product/90562b7f1edc88438b9ed6afa97b8343/60b5e0114ff356ddd9265ebb3544b851dabd7315373adc69a16cf12f75ff7c08/l/ultra-rich-lip-color-solar-affair-tom-ford-beauty,http://www.tomford.com/ultra-rich-lip-color/8806605578.html
Lip,#c98184,no apparent(original：dark orange),Nars,Velvet Matte Lip Pencil, Bettina,B000JLHDBE,Matte,http://ecx.images-amazon.com/images/I/31r1YlLMgwL._SL160_.jpg,http://www.amazon.com/NARS-Velvet-Matte-Pencil-Bettina/dp/B000JLHDBE%3Fpsc%3D1%26SubscriptionId%3DAKIAIE6IQV4GMYXOKF3A%26tag%3Dlq03-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB000JLHDBE
Lip,#dc775c,ok,Nars,Satin Lipstick, Casablanca, B00FS3Z3YM,Matte,http://demandware.edgesuite.net/aaoy_prd/on/demandware.static/-/Sites-itemmaster_NARS/default/dw6ddd016c/hi-res/0607845010043.jpg,http://www.narscosmetics.com/USA/casablanca-satin-lipstick/0607845010043.html
Lip,#ee3d8a,ok,Revlon,Ultra HD Lipstick,HD AZALEA,B00RY9SUAM,,http://ecx.images-amazon.com/images/I/4176vKI4tZL._SL160_.jpg,http://www.amazon.com/Revlon-Ultra-Lipstick-Azalea-Ounce/dp/B00RY9SUAM%3FSubscriptionId%3DAKIAIE6IQV4GMYXOKF3A%26tag%3Dlq03-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB00RY9SUAM
Lip,#d43f1b,,Revlon,Super lustrous lipstick,Siren,B0043WAPQA,,http://ecx.images-amazon.com/images/I/41PNEt56yoL._SL160_.jpg,http://www.amazon.com/Revlon-Super-Lustrous-Lipstick-Siren/dp/B0043WAPQA%3Fpsc%3D1%26SubscriptionId%3DAKIAIE6IQV4GMYXOKF3A%26tag%3Dlq03-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB0043WAPQA
Lip,#ed9982,ok,NYX,FULL THROTTLE LIPSTICK,Sidekick,,,https://s-media-cache-ak0.pinimg.com/736x/af/fd/be/affdbe65889e971cc649301e9c9a8ffe.jpg,http://www.nyxcosmetics.com/full-throttle-lipstick/NYX_312.html
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
